GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-2544-2747-201567-202681-202684-,L. James - J. Smith - K. Love - K. Irving - T. Thompson,1610612739,CLE,37,26,11,0.703,466.0,115.3,116.1,102.8,103.4,12.4,12.6,0.565,2.09,17.7,0.298,0.756,0.518,0.118,0.548,0.576,94.5,93.9,78.25,915,0.553,29,18,12650,4273,12,3548,7508,4506,5265,1376,4247,4584,5148,4670,6609,4238,4680,9986,5123,2015-16,L. James,J. Smith,K. Love,K. Irving,T. Thompson
Lineups,-2544-2747-201567-202389-202681-,L. James - J. Smith - K. Love - T. Mozgov - K. Irving,1610612739,CLE,28,19,9,0.679,251.0,99.5,99.4,107.3,108.1,-7.9,-8.7,0.623,1.41,18.1,0.243,0.744,0.499,0.175,0.52,0.54,96.7,96.4,80.34,503,0.455,60,40,12568,4313,41,6411,7892,7241,4550,3031,4145,5728,5790,6608,8824,4677,5528,9064,6554,2015-16,L. James,J. Smith,K. Love,T. Mozgov,K. Irving
Lineups,-2544-2747-201567-202684-203521-,L. James - J. Smith - K. Love - T. Thompson - M. Dellavedova,1610612739,CLE,46,35,11,0.761,199.0,120.4,119.1,96.2,93.9,24.2,25.3,0.624,2.58,18.2,0.335,0.782,0.553,0.101,0.538,0.58,93.7,95.38,79.48,397,0.623,12,8,12650,3992,55,3262,5437,3469,4547,1045,4140,3356,4856,3983,6058,4407,4598,9472,4169,2015-16,L. James,J. Smith,K. Love,T. Thompson,M. Dellavedova
Lineups,-2544-2747-201567-202389-203521-,L. James - J. Smith - K. Love - T. Mozgov - M. Dellavedova,1610612739,CLE,35,24,11,0.686,163.0,109.5,105.0,109.4,106.4,0.1,-1.4,0.614,1.56,17.8,0.254,0.734,0.514,0.155,0.553,0.578,92.9,96.25,80.21,323,0.49,35,21,12650,4308,73,4601,7735,6742,4607,2633,4227,5115,5853,4722,8066,4149,4638,9112,6168,2015-16,L. James,J. Smith,K. Love,T. Mozgov,M. Dellavedova
Lineups,-2544-2590-2747-201567-202389-,L. James - M. Williams - J. Smith - K. Love - T. Mozgov,1610612739,CLE,15,9,6,0.6,154.0,104.6,104.2,101.9,102.9,2.6,1.3,0.625,1.43,18.5,0.301,0.773,0.543,0.182,0.538,0.557,96.2,95.94,79.95,308,0.508,274,224,12211,4818,82,4658,7471,5334,4435,3007,3887,4490,4992,4181,8939,4408,5168,9304,5734,2015-16,L. James,M. Williams,J. Smith,K. Love,T. Mozgov
Lineups,-2544-201567-202684-202697-203521-,L. James - K. Love - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,25,19,6,0.76,73.0,118.2,108.6,108.5,101.3,9.7,7.3,0.536,1.88,14.8,0.306,0.788,0.536,0.106,0.529,0.57,92.7,100.12,83.43,151,0.518,82,40,12211,3993,208,4267,7397,4935,5508,2215,5747,4464,4780,4318,6160,4542,4828,7630,5603,2015-16,L. James,K. Love,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2544-2747-202684-202697-203521-,L. James - J. Smith - T. Thompson - I. Shumpert - M. Dellavedova,1610612739,CLE,21,15,6,0.714,61.0,114.1,107.1,106.8,105.1,7.3,2.0,0.54,1.8,15.7,0.322,0.651,0.492,0.118,0.533,0.57,100.9,104.82,87.35,127,0.5,132,70,12211,4216,275,4424,7627,5283,5477,2280,5375,4308,7536,6651,6610,4487,4826,5857,5780,2015-16,L. James,J. Smith,T. Thompson,I. Shumpert,M. Dellavedova
Lineups,-2210-2544-201567-202684-203521-,R. Jefferson - L. James - K. Love - T. Thompson - M. Dellavedova,1610612739,CLE,13,11,2,0.846,47.0,107.4,105.6,85.2,82.5,22.2,23.1,0.686,1.41,18.0,0.422,0.745,0.594,0.189,0.513,0.537,92.4,94.79,78.99,90,0.659,352,158,9128,3835,373,4538,4348,3706,3484,3030,4149,2613,5784,3200,9161,4742,5585,9656,3781,2015-16,R. Jefferson,L. James,K. Love,T. Thompson,M. Dellavedova
Lineups,-2544-201567-202681-202684-202697-,L. James - K. Love - K. Irving - T. Thompson - I. Shumpert,1610612739,CLE,20,15,5,0.75,43.0,108.7,103.3,78.4,74.2,30.4,29.1,0.455,1.0,12.7,0.333,0.75,0.571,0.167,0.515,0.563,96.9,102.19,85.16,90,0.768,152,70,11980,3996,422,4716,3532,3276,7174,3588,6658,3357,5162,3435,8252,4724,5012,6849,2728,2015-16,L. James,K. Love,K. Irving,T. Thompson,I. Shumpert
Lineups,-2544-2747-201567-202681-202697-,L. James - J. Smith - K. Love - K. Irving - I. Shumpert,1610612739,CLE,15,10,5,0.667,41.0,125.7,125.0,128.2,122.9,-2.5,2.1,0.667,2.17,21.3,0.324,0.639,0.479,0.143,0.618,0.636,94.4,96.63,80.53,84,0.527,274,180,11980,4314,445,2626,9307,5279,3528,1344,2676,4291,7619,6829,7396,3138,3456,9002,5476,2015-16,L. James,J. Smith,K. Love,K. Irving,I. Shumpert
