GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SeasonYear,Player1,Player2,Player3,Player4,Player5
Lineups,-201599-202083-203084-1628372-1629029-,D. Jordan - W. Matthews - H. Barnes - D. Smith Jr. - L. Doncic,1610612742,DAL,21,9,12,0.429,412.0,96.9,98.4,105.6,105.6,-8.7,-7.2,0.55,1.05,14.8,0.236,0.772,0.514,0.184,0.499,0.541,102.3,101.5,84.58,874,0.46,77,182,14784,7605,16,8018,8293,8319,6561,4175,7042,6383,5974,5362,10859,7749,6872,10116,7463,2018-19,D. Jordan,W. Matthews,H. Barnes,D. Smith Jr.,L. Doncic
Lineups,-201599-202083-203084-1628973-1629029-,D. Jordan - W. Matthews - H. Barnes - J. Brunson - L. Doncic,1610612742,DAL,13,3,10,0.231,197.0,111.2,112.3,114.8,114.7,-3.6,-2.4,0.565,1.78,16.3,0.242,0.735,0.479,0.123,0.529,0.57,102.3,101.84,84.87,416,0.466,255,1124,14745,8706,43,5185,9352,7966,6440,2951,6469,6348,6957,7953,8350,5797,6092,9971,7366,2018-19,D. Jordan,W. Matthews,H. Barnes,J. Brunson,L. Doncic
Lineups,-201599-203084-1627827-1628372-1629029-,D. Jordan - H. Barnes - D. Finney-Smith - D. Smith Jr. - L. Doncic,1610612742,DAL,14,9,5,0.643,134.0,101.3,101.4,99.6,99.0,1.8,2.4,0.495,1.0,13.5,0.27,0.699,0.493,0.177,0.519,0.553,102.4,102.7,85.58,288,0.497,219,182,14236,5555,81,6174,6072,6118,8506,4176,7828,5490,7576,7762,10669,5921,6631,9621,6896,2018-19,D. Jordan,H. Barnes,D. Finney-Smith,D. Smith Jr.,L. Doncic
Lineups,-201599-202083-203084-1628467-1629029-,D. Jordan - W. Matthews - H. Barnes - M. Kleber - L. Doncic,1610612742,DAL,8,3,5,0.375,105.0,111.1,112.6,106.4,107.1,4.7,5.4,0.598,1.53,16.7,0.317,0.754,0.549,0.149,0.546,0.588,98.5,97.5,81.25,215,0.551,645,1124,14236,7819,116,5079,8430,5897,6153,3289,5745,4815,6150,4662,9616,5444,5618,11741,5744,2018-19,D. Jordan,W. Matthews,H. Barnes,M. Kleber,L. Doncic
Lineups,-201599-202083-1627827-1628372-1629029-,D. Jordan - W. Matthews - D. Finney-Smith - D. Smith Jr. - L. Doncic,1610612742,DAL,6,3,3,0.5,81.0,121.6,122.5,122.2,121.6,-0.5,0.9,0.638,1.82,20.7,0.306,0.776,0.547,0.162,0.628,0.645,101.9,101.75,84.79,173,0.512,1012,1124,13118,5932,165,3966,10108,6225,5465,2895,3647,4920,5953,4675,9955,3778,4283,10021,6427,2018-19,D. Jordan,W. Matthews,D. Finney-Smith,D. Smith Jr.,L. Doncic
Lineups,-1717-203501-203939-1628973-1629029-,D. Nowitzki - T. Hardaway Jr. - D. Powell - J. Brunson - L. Doncic,1610612742,DAL,8,1,7,0.125,64.0,113.3,113.5,117.3,113.5,-4.0,0.0,0.533,1.6,18.1,0.207,0.807,0.504,0.15,0.605,0.613,97.6,99.13,82.61,133,0.47,645,3297,14568,8842,242,5017,9193,6276,6671,3205,5323,6722,5256,5463,9669,4241,5087,11124,7303,2018-19,D. Nowitzki,T. Hardaway Jr.,D. Powell,J. Brunson,L. Doncic
Lineups,-203501-203939-1627827-1628973-1629029-,T. Hardaway Jr. - D. Powell - D. Finney-Smith - J. Brunson - L. Doncic,1610612742,DAL,8,0,8,0.0,62.0,98.7,97.0,117.4,117.4,-18.6,-20.5,0.547,1.71,15.9,0.3,0.687,0.489,0.129,0.475,0.497,101.4,102.31,85.26,132,0.395,645,8857,14649,8857,252,8076,9693,9401,6574,3055,6568,4945,7705,7802,8732,7926,8805,9758,8531,2018-19,T. Hardaway Jr.,D. Powell,D. Finney-Smith,J. Brunson,L. Doncic
Lineups,-201599-202083-203084-1627827-1629029-,D. Jordan - W. Matthews - H. Barnes - D. Finney-Smith - L. Doncic,1610612742,DAL,12,4,8,0.333,60.0,108.0,102.9,111.0,109.9,-3.1,-7.1,0.694,2.13,17.9,0.222,0.797,0.481,0.114,0.523,0.557,108.9,112.15,93.46,140,0.482,302,740,14649,7873,266,6108,8738,8283,4304,1767,5365,6507,5715,7921,8127,5877,6520,5744,7091,2018-19,D. Jordan,W. Matthews,H. Barnes,D. Finney-Smith,L. Doncic
Lineups,-201599-203084-1628372-1628467-1629029-,D. Jordan - H. Barnes - D. Smith Jr. - M. Kleber - L. Doncic,1610612742,DAL,4,3,1,0.75,57.0,110.8,110.9,100.5,103.4,10.4,7.5,0.5,0.92,14.6,0.306,0.667,0.517,0.21,0.587,0.622,101.7,100.21,83.51,119,0.573,1795,1124,4450,4712,281,5355,8099,5706,6774,5886,7072,4918,7779,5335,11668,4593,4813,10676,5339,2018-19,D. Jordan,H. Barnes,D. Smith Jr.,M. Kleber,L. Doncic
Lineups,-203501-1627827-1628467-1628973-1629029-,T. Hardaway Jr. - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,1610612742,DAL,7,1,6,0.143,55.0,97.9,100.9,113.1,110.6,-15.2,-9.7,0.61,1.39,17.0,0.228,0.679,0.451,0.165,0.511,0.532,97.6,97.2,81.0,109,0.411,815,3297,14447,8830,296,6186,8848,8481,5755,3739,5705,6486,7746,8565,9990,6020,7065,11836,8252,2018-19,T. Hardaway Jr.,D. Finney-Smith,M. Kleber,J. Brunson,L. Doncic
