GROUP_NAME,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,SeasonYear,PG,SG,SF,PF,C,PG_Defensive_Handoff,PG_Defensive_OffScreen,PG_Defensive_PRBallHandler,PG_Defensive_PRRollMan,PG_Defensive_Postup,PG_Defensive_Spotup,PG_Offensive_Cut,PG_Offensive_Handoff,PG_Offensive_Misc,PG_Offensive_OffScreen,PG_Offensive_PRBallHandler,PG_Offensive_PRRollMan,PG_Offensive_Postup,PG_Offensive_Spotup,SG_Defensive_Handoff,SG_Defensive_OffScreen,SG_Defensive_PRBallHandler,SG_Defensive_PRRollMan,SG_Defensive_Postup,SG_Defensive_Spotup,SG_Offensive_Cut,SG_Offensive_Handoff,SG_Offensive_Misc,SG_Offensive_OffScreen,SG_Offensive_PRBallHandler,SG_Offensive_PRRollMan,SG_Offensive_Postup,SG_Offensive_Spotup,SF_Defensive_Handoff,SF_Defensive_OffScreen,SF_Defensive_PRBallHandler,SF_Defensive_PRRollMan,SF_Defensive_Postup,SF_Defensive_Spotup,SF_Offensive_Cut,SF_Offensive_Handoff,SF_Offensive_Misc,SF_Offensive_OffScreen,SF_Offensive_PRBallHandler,SF_Offensive_PRRollMan,SF_Offensive_Postup,SF_Offensive_Spotup,PF_Defensive_Handoff,PF_Defensive_OffScreen,PF_Defensive_PRBallHandler,PF_Defensive_PRRollMan,PF_Defensive_Postup,PF_Defensive_Spotup,PF_Offensive_Cut,PF_Offensive_Handoff,PF_Offensive_Misc,PF_Offensive_OffScreen,PF_Offensive_PRBallHandler,PF_Offensive_PRRollMan,PF_Offensive_Postup,PF_Offensive_Spotup,C_Defensive_Handoff,C_Defensive_OffScreen,C_Defensive_PRBallHandler,C_Defensive_PRRollMan,C_Defensive_Postup,C_Defensive_Spotup,C_Offensive_Cut,C_Offensive_Handoff,C_Offensive_Misc,C_Offensive_OffScreen,C_Offensive_PRBallHandler,C_Offensive_PRRollMan,C_Offensive_Postup,C_Offensive_Spotup
D. Jordan - W. Matthews - H. Barnes - D. Smith Jr. - L. Doncic,DAL,412,98.4,105.6,-7.2,2018-19,L. Dončić,D. Smith Jr.,W. Matthews,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.6,0.352,0.371,0.099,0.7065,0.669,0.0885,0.4315,0.3785,0.2285,0.40549999999999997,0.0,0.0,0.3585,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Jordan - W. Matthews - H. Barnes - J. Brunson - L. Doncic,DAL,197,112.3,114.7,-2.4,2018-19,L. Dončić,J. Brunson,W. Matthews,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Jordan - H. Barnes - D. Finney-Smith - D. Smith Jr. - L. Doncic,DAL,134,101.4,99.0,2.4,2018-19,L. Dončić,D. Smith Jr.,D. Finney-Smith,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.6,0.352,0.371,0.099,0.7065,0.669,0.0885,0.4315,0.3785,0.2285,0.40549999999999997,0.0,0.0,0.3585,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Jordan - W. Matthews - H. Barnes - M. Kleber - L. Doncic,DAL,105,112.6,107.1,5.4,2018-19,L. Dončić,W. Matthews,H. Barnes,M. Kleber,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Jordan - W. Matthews - D. Finney-Smith - D. Smith Jr. - L. Doncic,DAL,81,122.5,121.6,0.9,2018-19,L. Dončić,D. Smith Jr.,W. Matthews,D. Finney-Smith,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.6,0.352,0.371,0.099,0.7065,0.669,0.0885,0.4315,0.3785,0.2285,0.40549999999999997,0.0,0.0,0.3585,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Nowitzki - T. Hardaway Jr. - D. Powell - J. Brunson - L. Doncic,DAL,64,113.5,113.5,0.0,2018-19,L. Dončić,J. Brunson,T. Hardaway Jr.,D. Nowitzki,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.0,0.0,0.0,0.343,0.565,0.32,0.0,0.0,0.529,0.207,0.0,0.181,0.309,0.64,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
T. Hardaway Jr. - D. Powell - D. Finney-Smith - J. Brunson - L. Doncic,DAL,62,97.0,117.4,-20.5,2018-19,L. Dončić,J. Brunson,T. Hardaway Jr.,D. Finney-Smith,D. Powell,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.971,0.208,0.495,0.601,0.429,0.266,0.922,0.0,0.852,0.631,0.0,0.903,0.227,0.576
D. Jordan - W. Matthews - H. Barnes - D. Finney-Smith - L. Doncic,DAL,60,102.9,109.9,-7.1,2018-19,L. Dončić,W. Matthews,D. Finney-Smith,H. Barnes,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.336,0.22549999999999998,0.44,0.0,0.1375,0.49,0.267,0.3045,0.741,0.5,0.099,0.0,0.3085,0.8035,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
D. Jordan - H. Barnes - D. Smith Jr. - M. Kleber - L. Doncic,DAL,57,110.9,103.4,7.5,2018-19,L. Dončić,D. Smith Jr.,H. Barnes,M. Kleber,D. Jordan,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.6,0.352,0.371,0.099,0.7065,0.669,0.0885,0.4315,0.3785,0.2285,0.40549999999999997,0.0,0.0,0.3585,0.7515000000000001,0.4025,0.5525,0.2345,0.7825,0.226,0.068,0.2095,0.569,0.47200000000000003,0.3075,0.44,0.4975,0.8575,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699,0.0,0.2345,0.012,0.312,0.687,0.872,0.39449999999999996,0.0,0.1475,0.0,0.0,0.9255,0.47600000000000003,0.0
T. Hardaway Jr. - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic,DAL,55,100.9,110.6,-9.7,2018-19,L. Dončić,J. Brunson,T. Hardaway Jr.,D. Finney-Smith,M. Kleber,0.4,0.919,0.448,0.764,0.436,0.459,0.769,0.171,0.744,0.631,0.687,0.0,0.714,0.572,0.651,0.544,0.38,0.0,0.11,0.318,0.612,0.822,0.449,0.685,0.72,0.0,0.677,0.709,0.3245,0.42800000000000005,0.4135,0.0,0.3055,0.562,0.469,0.5509999999999999,0.4885,0.381,0.7965,0.0,0.9435,0.3625,0.321,0.813,0.708,0.23,0.284,0.591,0.419,0.465,0.216,0.504,0.082,0.734,0.0,0.352,0.174,0.989,0.099,0.31,0.565,0.788,0.849,0.0,0.404,0.724,0.0,0.273,0.613,0.699
