PLAYER_NAME,Player_Abbrev,SeasonYear,Defensive_Handoff,Defensive_OffScreen,Defensive_PRBallHandler,Defensive_PRRollMan,Defensive_Postup,Defensive_Spotup,Offensive_Cut,Offensive_Handoff,Offensive_Misc,Offensive_OffScreen,Offensive_PRBallHandler,Offensive_PRRollMan,Offensive_Postup,Offensive_Spotup
A.J. Lawson,A. Lawson,2024-25,0.773,0.0,0.48,0.0,0.0,0.024,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Green,A. Green,2023-24,0.755,0.0,0.0,0.0,0.0,0.804,0.0,0.986,0.0,0.425,0.154,0.618,0.0,0.928
AJ Green,A. Green,2024-25,0.852,0.199,0.071,0.262,0.993,0.762,0.0,0.958,0.69,0.176,0.099,0.988,0.0,0.875
AJ Griffin,A. Griffin,2022-23,0.636,0.679,0.546,0.126,0.475,0.354,0.773,0.814,0.47,0.493,0.677,0.0,0.0,0.675
AJ Johnson,A. Johnson,2024-25,0.0,0.0,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.0
Aaron Brooks,A. Brooks,2015-16,0.68,0.661,0.608,0.0,0.031,0.386,0.0,0.641,0.311,0.0,0.617,0.0,0.0,0.855
Aaron Brooks,A. Brooks,2016-17,0.081,0.589,0.318,0.0,0.251,0.337,0.0,0.259,0.382,0.854,0.652,0.0,0.0,0.631
Aaron Gordon,A. Gordon,2015-16,0.404,0.929,0.953,0.187,0.608,0.833,0.653,0.155,0.729,0.0,0.944,0.507,0.247,0.326
Aaron Gordon,A. Gordon,2016-17,0.677,0.832,0.602,0.318,0.174,0.717,0.994,0.308,0.755,0.242,0.392,0.803,0.258,0.177
Aaron Gordon,A. Gordon,2017-18,0.958,0.552,0.28,0.885,0.979,0.66,0.796,0.333,0.547,0.45,0.329,0.825,0.601,0.512
Aaron Gordon,A. Gordon,2018-19,0.656,0.779,0.427,0.708,0.621,0.358,0.706,0.71,0.417,0.342,0.359,0.227,0.299,0.564
Aaron Gordon,A. Gordon,2019-20,0.693,0.349,0.438,0.087,0.678,0.614,0.919,0.136,0.523,0.036,0.19,0.733,0.574,0.354
Aaron Gordon,A. Gordon,2020-21,0.5995,0.5825,0.676,0.393,0.4695,0.454,0.4685,0.7055,0.277,0.0,0.1295,0.1175,0.372,0.514
Aaron Gordon,A. Gordon,2021-22,0.321,0.373,0.643,0.737,0.414,0.644,0.785,0.753,0.214,0.89,0.233,0.938,0.604,0.484
Aaron Gordon,A. Gordon,2022-23,0.241,0.267,0.632,0.756,0.926,0.717,0.862,0.609,0.368,0.0,0.432,0.88,0.575,0.237
Aaron Gordon,A. Gordon,2023-24,0.798,0.736,0.807,0.823,0.437,0.783,0.0,0.294,0.468,0.0,0.121,0.809,0.633,0.607
Aaron Gordon,A. Gordon,2024-25,0.88,0.233,0.609,0.937,0.908,0.0,0.721,0.756,0.593,0.0,0.881,0.907,0.423,0.947
Aaron Harrison,A. Harrison,2017-18,0.276,0.095,0.634,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.154
Aaron Holiday,A. Holiday,2018-19,0.24,0.544,0.934,0.0,0.0,0.834,0.0,0.301,0.449,0.0,0.435,0.0,0.0,0.676
Aaron Holiday,A. Holiday,2019-20,0.339,0.48,0.806,0.813,0.749,0.622,0.0,0.488,0.332,0.635,0.316,0.0,0.0,0.876
Aaron Holiday,A. Holiday,2020-21,0.674,0.1,0.361,0.0,0.5,0.063,0.012,0.216,0.803,0.381,0.301,0.0,0.0,0.544
Aaron Holiday,A. Holiday,2021-22,0.2835,0.497,0.7315,0.1695,0.0395,0.2885,0.0,0.4075,0.665,0.0,0.3095,0.0,0.0,0.539
Aaron Holiday,A. Holiday,2022-23,0.849,0.434,0.712,0.399,0.977,0.497,0.0,0.0,0.405,0.0,0.652,0.0,0.0,0.415
Aaron Holiday,A. Holiday,2023-24,0.165,0.177,0.404,0.397,0.186,0.0,0.0,0.329,0.59,0.347,0.889,0.0,0.0,0.0
